icao,length_ft,width_ft,surface,le_ident,le_latitude,le_longitude,le_elevation_ft,le_displaced_ft,he_ident,he_latitude,he_longitude,he_elevation_ft,he_displaced_ft
00AA,3435,60,Turf,18,,,3433.0,,36,,,3435.0,
00AK,2500,40,Gravel,N,,,,,S,,,,
00AL,2300,200,Turf,01,,,,,19,,,,
00AS,1450,60,Turf,01,,,,,19,,,,
00CA,6000,80,Asphalt,04,,,,,22,,,,
00CL,3517,40,Asphalt,16,39.432,-121.76333,87.0,,34,39.42233,-121.7635,87.0,
00FA,3200,100,Asphalt,08,,,,,26,,,,800
00FL,4700,100,Turf,12,,,,,30,,,,
00GA,2600,80,Turf,09,,,,,27,,,,
00ID,3500,40,Turf,08,,,,,26,,,,
00ID,2900,40,Turf,11,,,,,29,,,,
00IG,2450,70,Turf,18,39.72733,-101.396,3359.0,,36,39.72067,-101.396,3353.0,
00IL,2500,75,Turf,18,,,,290,36,,,,350
00IS,1600,70,Turf,E,,,,,W,,,,
00KS,2600,85,Turf,17,,,,,35,,,,
00KY,2100,100,Turf,01,,,,,19,,,,
00LS,2600,100,Turf,18,,,,,36,,,,
00MD,1700,75,Turf,14,,,,,32,,,,
00MN,2949,200,Turf,06,,,,,24,,,,
00MO,2400,25,Turf,08,,,,,26,,,,
00N,1900,150,Turf,18,39.47567,-75.185,108.0,,36,39.4705,-75.18383,98.0,
00NC,2650,36,Asphalt,05,,,,,23,,,,
00NY,2350,80,Turf,03,,,,,21,,,,
00OK,2200,60,Turf-Dirt,17,,,,,35,,,,
00PN,500,75,Turf,12,,,,,30,,,,
00S,2600,90,Turf,06,44.18083,-122.09033,1595.0,,24,44.18233,-122.08067,1647.0,
00SC,2900,100,Turf,08,,,,,26,,,,
00SD,2400,50,Turf,18,,,,,36,,,,
00TN,1800,150,Turf,09,,,,,27,,,,
00TS,1200,45,Turf,01,,,,,19,,,,
00VA,1300,100,Turf,01,,,,,19,,,,
00VI,1500,50,Turf,09,,,,,27,,,,
00W,3400,50,Gravel,14,46.67683,-117.445,670.0,,32,46.66867,-117.43833,702.0,
00WA,1600,75,Turf,08,,,,,26,,,,
00WI,1000,60,Turf,09,,,,,27,,,,200
00WN,1440,50,Turf,05,,,,,23,,,,
00WV,1800,100,Turf,05,,,,,23,,,,
01A,1176,50,Gravel,05,62.94017,-152.273,2034.0,,23,62.94133,-152.26633,2041.0,
01AL,2400,60,Turf,N,,,,,S,,,,
01CL,3100,50,Asphalt-Treated,09,,,,500,27,,,,
01FA,2000,100,Turf,10,,,,,28,,,,
01FA,1500,100,Turf,18,,,,,36,,,,
01FL,3000,75,Turf,18,,,,,36,,,,800
01GE,2560,75,Turf,10,,,,,28,,,,
01IA,2575,50,Turf,17,,,,275,35,,,,
01ID,2894,100,Turf,14,42.611,-112.03483,,,32,42.60367,-112.0305,,
01IS,1300,100,Turf,09,,,,,27,,,,
01J,3600,125,Turf,18,30.69083,-81.9065,54.1,400,36,30.681,-81.90617,51.3,730
01K,2460,110,Turf,17,37.04,-97.5855,1157.0,,35,37.03317,-97.5855,1135.0,
01LA,2000,60,Turf,09,,,,,27,,,,
01LS,1800,150,Turf,09,,,,,27,,,,
01MT,5000,70,Asphalt,13,,,,,31,,,,150
01NC,3200,75,Turf,03,,,,,21,,,,
01NC,2000,75,Asphalt-Turf,18,,,,,36,,,,
01NE,2750,50,Turf,10,,,,,28,,,,
01NH,600,100,Turf,17,,,,,35,,,,
01NM,2700,70,Dirt,02,,,,,20,,,,
01NM,2000,70,Dirt,09,,,,,27,,,,
01NV,2000,60,Gravel,18,,,,,36,,,,
01PS,1200,120,Turf,03,,,,,21,,,,
01SC,2580,118,Turf,18,,,,,36,,,,
01TE,2433,55,Turf,04,,,,,22,,,,
01TN,2700,100,Turf,18,,,,,36,,,,
01U,3400,80,Dirt,15,38.859,-115.6375,5133.0,,33,38.84983,-115.635,5108.0,
01U,2700,75,Dirt,03,38.849,-115.63583,5105.0,,21,38.8545,-115.6295,5124.0,
01UT,3200,40,Dirt,E,,,,,W,,,,
01VA,1500,60,Turf,03,,,,,21,,,,
01WI,2600,120,Turf,01,,,,,19,,,,
01WY,4360,75,Dirt-Turf,12,,,,,30,,,,
01WY,2600,65,Dirt-Turf,16,,,,,34,,,,
02AK,2200,45,Gravel,15,,,,,33,,,,
02AL,2000,150,Turf,18,,,,,36,,,,
02CD,2500,100,Concrete-Turf,15,,,,,33,,,,
02CL,3000,60,Dirt,16,,,,,34,,,,
02CO,2670,50,Gravel,17,,,,,35,,,,
02FA,2485,150,Turf,18,,,,,36,,,,
02FL,1800,100,Turf,12,,,,,30,,,,
02GA,1500,100,Turf,13,,,,,31,,,,
02GA,1200,100,Turf,08,,,,,26,,,,
02GE,3400,100,Turf,09,,,,,27,,,,
02ID,2000,100,Turf,NE,,,,,SW,,,,
02II,1100,100,Turf,10,,,,200,28,,,,
02IN,1020,150,Turf,09,,,,,27,,,,
02KS,1950,150,Turf,18,,,,,36,,,,
02KS,1650,100,Turf,11,,,,,29,,,,
02MD,2000,75,Turf,09,,,,,27,,,,
02ME,2400,60,Turf,14,,,,,32,,,,
02MI,2000,100,Turf,09,,,,,27,,,,
02MO,2100,25,Asphalt,08,39.046,-91.03183,618.0,,26,39.0465,-91.0245,630.0,
02MS,2150,60,Turf,12,,,,,30,,,,
02PR,2000,50,Turf,06,,,,,24,,,,
02SC,3600,150,Turf,04,,,,,22,,,,
02T,4050,60,Turf-Dirt,02,45.76583,-112.9855,5830.0,,20,45.77433,-112.97533,5779.0,
02TN,1600,120,Turf,11,,,,,29,,,,
02UT,4000,50,Dirt,07,,,,,25,,,,
02UT,4000,50,Dirt,16,,,,,34,,,,
02VA,3000,80,Turf,18,,,,,36,,,,500
02WA,2650,50,Turf,16,,,,,34,,,,
02WI,2200,60,Turf,18,,,,800,36,,,,
02WN,1500,30,Dirt,13,,,,,31,,,,
02XA,1950,50,Turf,18,,,,,36,,,,
02XS,1500,40,Turf,02,,,,,20,,,,
02XS,1320,40,Turf,11,,,,,29,,,,
03AZ,3600,60,Dirt,E,,,,,W,,,,
03CO,4000,30,Asphalt,13,,,,,31,,,,
03FA,2000,200,Turf,E,,,,,W,,,,
03GA,1990,65,Turf,10,,,,,28,,,,
03GA,1955,60,Turf,11,,,,,29,,,,
03ID,1800,100,Turf,11,,,,,29,,,,
03II,1000,200,Turf,N,,,,,S,,,,
03IL,2600,105,Turf,18,,,,,36,,,,
03KY,2300,80,Turf,03,,,,,21,,,,
03MA,1600,60,Turf,12,,,,,30,,,,
03ME,2400,90,Turf,18,,,,,36,,,,
03MN,1940,75,Turf,17,,,,,35,,,,
